sample_index,n_qubits,pauli,ours_deterministic,ours_value,qiskit_expectation,match
0,5,ZZZZZ,False,,0.0,True
1,5,ZZZZZ,False,,0.0,True
2,5,ZZZZZ,False,,0.0,True
3,5,ZZZZZ,False,,0.0,True
4,5,ZZZZZ,True,1,1.0,True
5,5,ZZZZZ,False,,0.0,True
6,5,ZZZZZ,False,,0.0,True
7,5,ZZZZZ,False,,0.0,True
8,5,ZZZZZ,False,,0.0,True
9,5,ZZZZZ,False,,0.0,True
10,5,ZZZZZ,False,,0.0,True
11,5,ZZZZZ,False,,0.0,True
12,5,ZZZZZ,False,,0.0,True
13,5,ZZZZZ,False,,0.0,True
14,5,ZZZZZ,True,-1,-1.0,True
15,5,ZZZZZ,False,,0.0,True
16,5,ZZZZZ,False,,0.0,True
17,5,ZZZZZ,False,,0.0,True
18,5,ZZZZZ,False,,0.0,True
19,5,ZZZZZ,False,,0.0,True
20,5,ZZZZZ,False,,0.0,True
21,5,ZZZZZ,False,,0.0,True
22,5,ZZZZZ,True,1,1.0,True
23,5,ZZZZZ,False,,0.0,True
24,5,ZZZZZ,False,,0.0,True
25,5,ZZZZZ,False,,0.0,True
26,5,ZZZZZ,False,,0.0,True
27,5,ZZZZZ,False,,0.0,True
28,5,ZZZZZ,False,,0.0,True
29,5,ZZZZZ,False,,0.0,True
30,5,ZZZZZ,False,,0.0,True
31,5,ZZZZZ,False,,0.0,True
32,5,ZZZZZ,True,1,1.0,True
33,5,ZZZZZ,False,,0.0,True
34,5,ZZZZZ,False,,0.0,True
35,5,ZZZZZ,False,,0.0,True
36,5,ZZZZZ,False,,0.0,True
37,5,ZZZZZ,False,,0.0,True
38,5,ZZZZZ,False,,0.0,True
39,5,ZZZZZ,False,,0.0,True
40,5,ZZZZZ,False,,0.0,True
41,5,ZZZZZ,False,,0.0,True
42,5,ZZZZZ,False,,0.0,True
43,5,ZZZZZ,False,,0.0,True
44,5,ZZZZZ,True,1,1.0,True
45,5,ZZZZZ,False,,0.0,True
46,5,ZZZZZ,False,,0.0,True
47,5,ZZZZZ,False,,0.0,True
48,5,ZZZZZ,False,,0.0,True
49,5,ZZZZZ,False,,0.0,True
